DATE,REASON,ALTTIME,SPECIAL,SPEAKER,INSTITUTION,WEBSITE,TITLE,ABSTRACT
2011/09/26,,,,"Oscar Randal-Williams","University of Copenhagen",,"Stable Moduli Spaces of High-Dimensional Manifolds","Madsen and Weiss' theorem --- identifying the stable homology of moduli spaces of Riemann surfaces --- and the theorem of Barratt-Priddy, Quillen, and Segal --- identifying the stable homology of classifying spaces of symmetric groups --- fit into a natural hierarchy of statements concerning the homology of moduli spaces of $(n-1)$-connected $2n$-manifolds. I will discuss recent joint work with Søren Galatius which as a special case proves these statements for all $n = 3, 4, \ldots$"
2011/10/03,,,,"Chris Schommer-Pries","MIT",,"On the Uniqueness of the Homotopy Theory of Higher Categories","In this talk we report on joint work with Clark Barwick. We give a short list of axioms that a quasicategory should satisfy to be considered a reasonable homotopy theory of $(\infty,n)$-categories. We show that the space of such quasicategories is homotopy equivalent to $\mathrm{B}(\mathbb{Z}/2)^{n}$,  generalizing a theorem of Toën when $n=1$, and verifying two conjectures of Simpson. In particular, any two such quasicategories are equivalent. We also provide a large class of examples satisfying our axioms, including those of Joyal, Kan, Lurie, Simpson, and Rezk."
2011/10/17,,,,"Thomas Kragh","MIT",,"","In this talk I will start by describing what Hamiltonian Floer homology is and how it relates to 1-periodic orbits of a Hamiltonian flow. Then I will consider the case $\mathbb{R}^{2n}$ and describe how finite dimensional approximations lead to considering periodic cobordism theories (complex and real) as ``coefficient rings''. I will then in the more general case of a Liouville domain sketch how to define a spectrum-module over these coefficient rings with a set of generators in 1-1 correspondence with periodic orbits."
2011/10/24,,,,"Nathaniel Stapleton","MIT",,"Towards Transchromatic Twisted Character Maps","In the 80's Hopkins, Kuhn, and Ravenel developed a way to study cohomology rings of the form $E^{*}(\mathrm{B}G)$ in terms of a character map. Their map can be interpreted as a map of cohomology theories beginning with a height $n$ cohomology theory $E$ and landing in a height 0 cohomology theory with a rational algebra of coefficients that they construct out of $E$. In this talk we will use the language of $p$-divisible groups to discuss various ways of generalizing their map to every height between 0 and $n$."
2011/10/31,,,,"Kyle Ormsby","MIT",,"Tate Normal Form in Level Resolutions of the $K(2)$-Local Sphere","The $K(2)$-localization of the sphere spectrum admits a conjectural small resolution built from TMF and ``TMF with level structures'' --- the evaluation of the TMF sheaf on the stack of elliptic curves equipped with an order $l$ subgroup.  In this talk, I will use variations on Tate normal form to describe several Hopf algebroids that stackify to elliptic curves with level structure.  These Hopf algebroids lead to computations of the Behrens-Lawson spectrum $Q(l)$.  This is current work with Mark Behrens, Nat Stapleton, and Vesna Stojanoska."
2011/11/07,,,,"Kirsten Wickelgren","Harvard",,"Massey Products in Galois Cohomology via Rational Points","The Milnor conjecture identifies the cohomology ring $H^{*}(\text{Gal}(\bar{k}/k), \mathbb{Z}/2)$ with the tensor algebra of $k^{*}$ mod the ideal generated by $x \otimes 1-x$ for $x$ in $k - \{0,1\}$ mod 2. In particular, $x \cup 1-x$ vanishes, where $x$ in $k^{*}$ is identified with an element of $H^{1}$. We show that order $n$ Massey products of $n-1$ factors of $x$ and one factor of $1-x$ vanish by embedding $\mathbb{P}^{1} - \{0,1,\infty\}$ into its Picard variety and constructing $\text{Gal}(\bar{k}/k)$-equivariant maps from $\pi_{1}^{\text{et}}$ applied to this embedding to unipotent matrix groups. This also identifies Massey products of the form $\langle 1-x, x, \ldots , x , 1-x\rangle$ with $f \cup 1-x$, where $f$ is a certain cohomology class which arises in the description of the action of $\text{Gal}(\bar{k}/k)$ on $\pi_{1}^{\text{et}}(\mathbb{P}^1 - \{0,1,\infty\})$."
2011/11/14,,,,"Ricardo Andrade","Stanford University",,"Filtered spaces and homology of $E_n$-algebras","The topological chiral homology of $E_n$-algebras can be calculated using certain categories of configurations on manifolds. These are obtainable from a construction associating to each filtered space a category whose morphisms are paths which respect the filtration. In this context, Dwyer-Kan localizations arise from forgetting stages of the filtration. Such a result recovers elementary properties of chiral homology."
2011/11/21,,,,"Gonçalo Tabuada","MIT",,"The Fundamental Theorem via Derived Morita Invariance, Localization, and $\mathbb{A}^{1}$-Homotopy Invariance","We prove that every functor defined on dg categories which is derived Morita invariant, localizing, and $\mathbb{A}^{1}$-homotopy invariant, satisfies the fundamental theorem. As an application, we recover, in a unified and conceptual way, Weibel and Kassel's fundamental theorems in homotopy algebraic K-theory, and periodic cyclic homology, respectively."
2011/11/28,,,,"John Francis","Northwestern University",,"Factorization Homology","Factorization homology, or the topological chiral homology of Lurie, is a homology theory for manifolds conceived as a topological analogue of the chiral homology of Beilinson and Drinfeld. I'll describe an axiomatic characterization of factorization homology, generalizing the Eilenberg-Steenrod axioms for usual homology. The use of excision for factorization homology facilitates a short proof of the nonabelian Poincare duality of Salvatore and Lurie; this proof generalizes to give a nonabelian Poincare duality for stratified manifolds, joint work with David Ayala and Hiro Tanaka. Work in progress with Kevin Costello aims to express quantum invariants of knots and 3-manifolds in factorization terms, which, time permitting, I'll outline."
2011/12/05,,,,"Andrew Blumberg","the University of Texas",,"Progress towards TC(MU)","The algebraic K-theory of the complex cobordism spectrum is an object of basic interest, both because it provides an interesting example of K-theory of a non-classical ring and because it should shed light on K(S). There is reason to believe that K(MU) should be approachable via trace methods, which focuses attention on understanding THH(MU) and TC(MU). This talk describes work in progress to describe the equivariant homotopy type of THH of a Thom spectrum as an equivariant Thom spectrum.  The ingredients for this description include the Hill-Hopkins-Ravenel norm and a modernized view of equivariant infinite loop space theory.  This is joint work with Angeltveit, Gerhardt, and Hill."
2011/12/12,,,,"Emily Riehl","Harvard",,"Algebraic Model Structures and Cellularity","Algebraic model categories are a variant of Quillen's classical notion in which the (co)fibrations are equipped with extra structure witnessing their defining lifting properties. Many ordinary model categories admit this extra structure, giving rise to a plethora of examples. In this talk we present several theorems illustrating various features of this theory. In particular, we focus on a series of results that guarantee the existence of algebraic Quillen adjunctions and algebraic monoidal model structures just when particular cofibrations are cellular: eg, relative cell complexes, not mere retracts of such. On account of these results, the algebraic theory places great emphasis on a distinction that is also present in expository accounts of the classical theory, where its role is less transparent."
2012/02/13,,,,"Roman Mikhailov","Steklov; IAS",,"A combinatorial description of homotopy groups of spheres","The talk is based on recent results obtained jointly with Jie Wu. For all $n>k$, we construct a finitely generated group by explicit generators and relations such that its center is the $n$-th homotopy group of the $k$-th sphere."
2012/02/21,,,,"Stefan Schwede","Bonn",,"Equivariant properties of symmetric products","The filtration on the infinite symmetric product of spheres by number of factors provides a sequence of spectra between the sphere spectrum and the integral Eilenberg-Mac Lane spectrum. This filtration has received a lot of attention and the subquotients are interesting stable homotopy types.
In this talk I will discuss the equivariant stable homotopy types, for finite groups, obtained from this filtration for the infinite symmetric product of representation spheres. The filtration is more complicated than in the non-equivariant case, and already on the zeroth homotopy groups an interesting filtration of the augmentation ideal of the Burnside ring functor arises. Our method is by `global' homotopy theory, i.e., we study the simultaneous behaviour for all finite groups at once. The equivariant subquotients are no longer rationally trivial, nor even concentrated in dimension 0."
2012/02/27,,,,"Dominic Verity","CoACT",,"Homotopy Coherent Adjunctions","The aim of this talk is to discuss the homotopy coherence properties of
adjunctions between quasi-categories.

Taking as our lead the theory of the ``walking adjunction'' A of 2-category
theory, we generalise to categories enriched in quasicategories and show that
this same 2-category plays a similar role in this new context. Specifically,
using insights drawn from the calculus of string diagrams we give an explicit
presentation of A as a simplicially enriched category. We then use this to show
that if C is any quasicategory enriched category and u is a right adjont 0-arrow
in C, in some suitable sense to be discussed, then this data may be completed to
give a simplicially enriched functor A->C. Furthermore, we show that the space
of all such exensions is contractible.

That adjunctions of quasicategories may be completed up to enriched functors on
A in this way contains, in its very essence, the adjunction data discussed by
Jacob Lurie. Such enriched functors encapsulate both the coherent monad and the
coherent comonad generated by such an adjunction and provide the building blocks
upon which to found a formal theory of such things along the lines established
by Street in the 2-categorical context."
2012/03/05,,,,"David Gepner","Regensburg; MIT",,"The $A^1$- localization of noncommutative motives and homotopy K-theory","The motivic perspective on algebraic K-theory is a useful
means of constructing trace maps as well as other additive or
localizing invariants which are often easier to compute. For instance,
a homotopy invariant form of K-theory is obtained by forming the
$A^1$-localization of noncommutative motives before passing to homotopy groups. In order to relate this to the usual notion of homotopy K-theory it is useful to have a direct construction of this
localization, and this involves understanding the additive group $A^1$
in the noncommutative context. This is joint work with Andrew Blumberg and Goncalo Tabuada."
2012/03/12,,,,"Igor Kriz","University of Michigan",,"Khovanov homology and k-theory","I plan to discuss my recent joint work
with Po Hu and Daniel Kriz on a lifting of Khovanov homology
to connective k-theory. I will also talk about its relation to recent
work by Lipshitz and Sarkar. As a technical tool, our approach exhibits
a curious link between modular functors and the Elmendorf-Mandell
approach to multiplicative infinite loop space theory."
2012/03/13,,,,"Po Hu","Wayne State University",,"Topological hermitian cobordism","I will discuss topological Hermitian cobordism, an RO(G)-graded
Z/2 x Z/2- spectrum constructed in a joint paper with Igor Kriz.
I will also talk about the method for calculating its RO(G)-graded
coefficients completely."
2012/03/19,,,,"Inna Zakharevich","MIT",,"Scissors congruence and K-theory","Hilbert's third problem asks the following question: given two
polyhedra with the same volume, is it possible to dissect one into
finitely many polyhedra and rearrange it into the other one?  The
answer (due to Dehn in 1901) is no: there is another invariant that
must also be the same.  Further work in the 60s and 70s generalized
this to other geometries by constructing groups which encode scissors
congruence data.  Though most of the computational techniques used
with these groups related to group homology, the algebraic K-theory of
various fields appears in some very unexpected places in the
computations.  We will give a different perspective on this problem by
examining it from the perspective of algebraic K-theory: we construct
the K-theory spectrum of a scissors congruence
problem and relate some of the classical structures on scissors
congruence groups to structures on this spectrum."
2012/04/02,,,,"David Ayala","Harvard",,"Higher categories are sheaves on manifolds","Many proposed higher categories come from geometric situations.  This
talk will demonstrate a constructive connection between a homotopy
theory of local invariants of n-manifolds and that of weak n-categories
in the sense of Rezk.  Connections to specific topological field theories will be discussed.  This is a report on joint work with Nick Rozenblyum."
2012/04/09,,,,"Burt Totaro","Cambridge",,"New bounds for the cohomology and Chow ring of finite groups","Symonds (2010) showed that the cohomology ring
of a finite group $G$ with a faithful complex representation of dimension $n$
is generated by elements of degree at most $n^2$.
This was a remarkable advance, since no bound was known before.
Symonds's proof combined equivariant cohomology with commutative
algebra (Castelnuovo-Mumford regularity). We give better bounds
for the cohomology ring of a p-group. The methods also apply
to the Chow ring of algebraic cycles on $BG$."
2012/04/18,,,,"Bertrand Toën","Université de Montpellier 2",,"Quantization of derived moduli spaces","I will report on a work in progress in collaboration
with Pantev-Vaquié-Vezzosi. The central notion will be of a
shifted symplectic structure on a derived scheme or derived stack, which
I will explain in details. The main result is an existence statement
of shifted symplectic structures on derived mapping spaces toward a symplectic
target, that will be used to construct many examples (moduli of sheaves on
$CY$ varieties, moduli of representation of $\pi_1$ of a compact oriented
manifold, Lagrangian intersections ...). Finally, I will explain what
quantization means in this context as well the general strategy to
prove existence of canonical quantizations."
2012/04/23,,,,"Charles Rezk","University of Illinois",,"Power operations in elliptic cohomology",""
2012/04/30,,,,"Robin Koytcheff","Brown",,"A colored operad for infection of links","Budney recently constructed an operad that encodes splicing of knots and extends his little 2-cubes operad action on the space of (long) knots.  He further decomposed the space of knots as the space freely generated over the splicing operad by the subspace of torus and hyperbolic knots.  Infection of knots (or links) by string links is a generalization of splicing from knots to links and is useful for studying concordance of knots.  In joint work with John Burke, we have constructed a colored operad that encodes this infection operation.  This suggests looking for other ways to decomposes spaces of knots and links, which is a main direction of our work in progress."
2012/05/07,,,,"Marcy Robertson","UWO",,"Spaces of Operad Structures","A multicategory, also known as a colored operad, is simply a generalized non-commutative algebra. In this talk we focus on studying maps between multicategories enriched in simplicial sets. We show that the homotopy function complex of maps between any two multicategories can be computed as the moduli space of a certain small category of (operatic) bimodules. As an application, we show how this description leads to several important decompositions which allow one to compute various geometric invariants."
2012/05/14,,,,"Man Chueng Cheng","MIT",,"Duality of differentiable stacks","It was shown by Greenlees-Sadofsky that classifying spaces of finite
groups satisfy a Morava K-theory version of Poincare duality. This duality map can be viewed as coming from a Spanier-Whitehead type construction for differentiable stacks. In this talk I will define differentiable stacks and explain this construction. I will also discuss the generalization of the above result to a more general class of stacks and give some examples."
2012/09/10,,,,"Søren Galatius","Stanford",,"Homological stability for moduli spaces of high dimensional manifolds","I will discuss recent joint work with Oscar Randal-Williams concerning the manifolds $W_g^{2n}$ obtained as the connected sum of $g$ copies of $S^n \times S^n$.  For $n=1$ this is a genus $g$ surface, and there is a moduli space $M_g$ parametrizing smooth surface bundles with genus $g$ fibers.  For higher $n$ there is an analogous moduli space $M_g^n$ parametrizing smooth fiber bundles with fibers $W_g$ (although for $n > 1$ it is no longer finite dimensional).  We prove that for $n > 2$ the cohomology groups $H^k(M_g^n)$ are independent of $g$ as long as $g >> k$, generalizing a result of John Harer and others for $n=1$."
2012/09/17,,,,"Paul Arne Østvær","Oslo",,"Motivic slices and the graded Witt ring","We compute the motivic slices of hermitian $K$-theory and higher Witt-theory. The corresponding slice spectral sequences relate motivic cohomology to hermitian $K$-groups and Witt groups, respectively. Using this we compute the hermitian $K$-groups of number fields, and (re)prove Milnor's conjecture on quadratic forms for fields of characteristic different from 2. Joint work with Oliver Röndigs."
2012/09/24,,,,"Larry Guth","MIT",,"Contraction of areas and homotopy-type of mappings","I'm going to talk about connections between the geometry of a map and its homotopy type.  Suppose we have a maps from the unit $m$-sphere to the unit $n$-sphere.  We say that the $k$-dilation of the map is $< L$ if each $k$-dimensional surface with $k$-dim volume $V$ is mapped to an image with $k$-dim volume at most $LV$. Informally, if the $k$-dilation of a map is less than a small $\epsilon$, it means that the map strongly shrinks each $k$-dimensional surface. Our main question is: can a map with very small $k$-dilation still be homotopically non-trivial? Here are the main results. If $k > (m+1)/2$, then there are homotopically non-trivial maps from $S^m$ to $S^{m-1}$ with arbitrarily small $k$-dilation. But if $k \leq (m + 1)/2$, then every homotopically non-trivial map from $S^m$ to $S^{m - 1}$ has $k$-dilation at least $c(m) > 0$. "
2012/10/01,,,,"Kyle Ormsby","MIT",,"Motivic Brown-Peterson invariants of the rationals","The motivic truncated Brown-Peterson spectra BP$<$n$>$ interpolate between motivic cohomology (BP$<$0$>$), algebraic K-theory (BP$<$1$>$), and the motivic Brown-Peterson spectrum itself, a close relative of algebraic cobordism.  We use the motivic Adams spectral sequence and global-to-local comparison maps to compute the BP$<$n$>$-homology of the rational numbers.  Along the way, we prove a Hasse principle for the motivic BP$<$n$>$ and deduce several classical and recent theorems about the algebraic $K$-theory of particular fields. This is joint work with Paul Arne Østvær."
2012/10/15,,,,"Nathaniel Stapleton","MIT",,"An Application of Transchromatic Generalized Character Theory","The generalized character theory of Hopkins, Kuhn and Ravenel has proved to be a very useful tool in the study of Morava $E_n$. In this talk, I will outline a compact construction of the transchromatic generalized character maps. The Morava $E$-theory of cyclic groups and symmetric groups have well known algebro-geometric interpretations. Using the relationship between the character maps and the transfer maps for Morava $E$-theory, I will provide algebro-geometric interpretations of the cohomology of some finite groups other than symmetric groups and cyclic groups. "
2012/10/22,,,,"Vesna Stojanoska","MIT",,"A Study of tmf Cooperations","We combine three strategies to studying cooperations in 
connective topological modular forms: the Adams spectral sequence and 
its relation to Brown-Gitler modules following Mahowald's approach to 
cooperations in connective real K theory, Laures's theory of 
q-expansions of multi-variable modular forms, as well as level structure 
approximations. As a result, we obtain an algorithmic procedure for 
determining the structure of the smash product of tmf with itself. This 
is a report on joint work in progress with Behrens, Ormsby, and 
Stapleton. "
2012/10/29,,,,"Matthew Gelvin","Copenhagen",,"Parametrization of Characteristic Bisets of a Saturated Fusion System","For $G$ a finite group with Sylow subgroup $S$, the conjugation action of $G$ on the subgroups of $S$ gives rise to the data of a \emph{saturated fusion system} $\mathcal{F_S(G)}$ on $S$.  On the other hand, $S$ acts on $G$ by left and right multiplication.  The resulting $(S,S)$-biset $_SG_S$ turns out to contain much of the same information as $\mathcal{F_S(G)}$, in that the biset determines the fusion system, but not conversely. These notions can be abstracted to make no reference to the ambient group $G$, resulting in an \emph{abstract saturated fusion system} $\mathcal{F}$ on $S$ and a \emph{characteristic biset} $\Omega$ for $\mathcal{F}$.  Again, $\Omega$ determines $\mathcal{F}$, but each $\mathcal{F}$ has many associated characteristic bisets. This talk will focus on the failure of a saturated fusion system to uniquely determine a characteristic biset.  We will show that there is a parametrization of all characteristic bisets for a fixed $\mathcal{F}$, which will have as a consequence the surprising result that each saturated fusion system has a unique \emph{minimal} associated characteristic biset."
2012/11/05,,,,"Tomer Schlank","MIT",,"Obstruction Theory for Topoi and Sections for (Pro)finite Group","Given a fibration $f:X \to S$ of CW-complexes one can use Eilenberg obstruction theory to study the spaces of sections of $f$. These obstruction theory give rise to obstructions to the existence of a section lying in the groups $H^{s+1}(S, \pi_s(F))$ where $F$ is the fibre of $f$. A topos is a generalization of the concept of topological space which is ubiquitous in algebraic geometry. In the talk I shall present joint work with I. Barnea generalizing Eilenberg obstruction theory for sections of maps of topoi $f:X \to S$. If time permits I will describe applications to Galois theory of number fields."
2012/11/19,,,,"Emily Riehl","Harvard",,"The Formal Category Theory of Quasi-Categories","Quasi-categories (aka $\infty$-categories) are convenient models of categories weakly enriched in spaces. Analogs of the standard categorical theorems involving limits and colimits, adjunctions, equivalences, monads and so forth have been proven by Joyal, Lurie and others. The goal of this talk is to describe a new ground-level approach that allows for 'formal' re-proofs of these facts that requires only very mild model category prerequisites and hence generalizes. A highlight will be the construction and characterization of the quasi-category of algebras associated to a homotopy coherent monad. This is a progress report on ongoing joint work with Dominic Verity."
2012/11/26,,,,"Kirsten Wickelgren","Harvard",,"$H_1$ of the Abel-Jacobi Map to the Compactified Jacobian gives Poincaré Duality","The Picard scheme $\text{Pic}^0$ representing invertible sheaves can be compactified by a moduli space $J$-bar of rank 1, torsion-free sheaves called the compactified Jacobian. For a smooth algebraic curve $X$ over a field $k$ with boundary $\partial X$, applying $H_1$ to the Abel-Jacobi map $X \to \text{Pic}^0 (X/ \partial X)$ gives the Poincaré duality isomorphism $H_1(X,  Z/\ell) \to H^1_c(X, Z/\ell(1)) = H^1(X, \partial X, Z/\ell(1))$. We show the analogous result for the compactified Jacobian that applying $H_1$ to the Abel-Jacobi map $X/\partial X \to J$-bar gives the Poincaré duality isomorphism $H_1(X, \partial X, Z/\ell) \to H^1(X, Z/\ell(1))$. In particular, $H_1(X/ \partial X \to J$-bar$)$ is an isomorphism. This is joint work with Jesse Kass."
2012/12/03,,,,"Angélica Osorno","Chicago",,"Equivariant infinite loop space machines","An equivariant infinite loop space machine is a functor that constructs genuine equivariant spectra out of simpler categorical or space level data. In the late 80's Lewis-May-Steinberger and Shimakawa developed generalizations of the operadic approach and the $\Gamma$-space approach respectively. In this talk I will describe work in progress that aims to understand these machines conceptually, relate them to each other, and develop new machines that are more suitable for certain kinds of input. This work is joint with Anna Marie Bohmann, Peter May and Mona Merling."
2012/12/10,,,,"Steve Awodey","Carnegie Mellon",,"Homotopy Type Theory and Univalent Foundations","I will give a survey of the recently discovered connection between constructive logic and homotopy theory. This forms the basis of Voevodsky's Univalent Foundations program, a new approach to foundations with intrinsic geometric content and a computational implementation. Time permitting, I will explain the Univalence axiom."
2013/02/05,,,,"André Henriques","Utrecht",,"Progress report on the construction of TMF","Roughly ten years ago, Stephan Stolz and Peter Teichner have set up a detailed plan for constructing TMF geometrically. Unfortunately, their idea of definition is still incomplete. A couple of months ago, I had an idea (which fits into the Stolz-Teichner program) about which I am quite excited: There should be a universal CFT, which I'll call $U$. The CFT $U$ should bear with respect to other CFTs a relationship that is analogous to the relationship that an infinite dimensional Hilbert space bears with respect to other finite dimensional vector spaces. Moreover, there should exist a property of quantum fields of $U$, which I'll call `Fredholm' such that the space of Fredholm quantum fields of $U$ is a classifying space for the cohomology theory TMF. I'll explain what the theory $U$ is, and what it means for a quantum field to be `Fredholm'. Disclaimer: this is all very speculative, and I don't think that, in its current form, this will yield TMF."
2013/02/11,,,,"Michael Ching","Amherst College",,"Some examples of homotopic descent","I will describe a collection of theorems that exemplify homotopic descent. Each of these theorems says that a certain Quillen adjunction is `comonadic' in a homotopical sense: that is, it identifies the homotopy theory on one side of the adjunction with the homotopy theory of coalgebras over a certain comonad that acts on the other side. I will say what I mean by the homotopy theory of such coalgebras and give a Barr-Beck comonadicity condition.

The examples concern operad theory and Goodwillie calculus. One result identifies the homotopy theory of 0-connected algebras over an operad of spectra with that of 0-connected divided power coalgebras over the Koszul dual operad. (This is joint work with John Harper.) Another describes the homotopy theory of n-excisive homotopy functors (between categories of spaces and/or spectra) in terms of appropriate comonads. (This is joint work with Greg Arone.) In the case of functors from spaces to spectra, and algebras over the commutative operad, there is a close connection between these two examples, which I shall describe."
2013/02/25,,,,"Matthew Gelvin","University of Copenhagen",,"Parametrization of characteristic bisets of a saturated fusion system","For $G$ a finite group with Sylow subgroup $S$, the conjugation action of $G$ on the subgroups of $S$ gives rise to the data of a \emph{saturated fusion system} $\mathcal{F_S(G)}$ on $S$.  On the other hand, $S$ acts on $G$ by left and right multiplication.  The resulting $(S,S)$-biset $_SG_S$ turns out to contain much of the same information as $\mathcal{F_S(G)}$, in that the biset determines the fusion system, but not conversely.

These notions can be abstracted to make no reference to the ambient group $G$, resulting in an \emph{abstract saturated fusion system} $\mathcal{F}$ on $S$ and a \emph{characteristic biset} $\Omega$ for $\mathcal{F}$.  Again, $\Omega$ determines $\mathcal{F}$, but each $\mathcal{F}$ has many associated characteristic bisets.  

This talk will focus on the failure of a saturated fusion system to uniquely determine a characteristic biset.  We will show that there is a parametrization of all characteristic bisets for a fixed $\mathcal{F}$, which will have as a consequence the surprising result that each saturated fusion system has a unique \emph{minimal} associated characteristic biset."
2013/03/04,,,,"Ethan Devinatz","University of Washington",,"Higher homotopy commutativity of small ring spectra","Given a finite spectrum of type $n$, explicit $v_n$ self-maps are 
more easily constructed if that spectrum is a ring spectrum, by which I
mean the spectrum is provided with a pairing which has a two-sided unit 
but is not necessarily homotopy commutative or homotopy associative. 
If in addition, the spectrum is homotopy associative and homotopy 
commutative, one can sometimes say more.

Twenty five years ago I proved that if $X$ is a finite ring spectrum of 
type n, then there exists a $v_n$ self-map f such that the cofiber $X(f^i)$ of 
the self-map $f^i$ is a ring spectrum for any $i$, and the pairing on $X(f^i)$
extends the pairing on $X$.  In this talk, I will discuss my recent result 
that if $X$ is higher homotopy commutative up to some finite order, then $f$
may be chosen so that this higher homotopy commutative structure may be 
extended to such a structure on $X(f^i)$."
2013/03/11,,,,"Dustin Clausen","MIT",,"Arithmetic duality in algebraic K-theory","We will discuss an analog in algebraic K-theory of the
Poitou-Tate global duality in Galois cohomology.  A key point is that the
use of algebraic K-theory instead of Galois cohomology allows to give a
direct and pictorial construction of the fundamental class which is at
the base of these dualities.  It also allows to connect this arithmetic
theory with some classical and modern work in homotopy theory, such as
Quillen's on the J-homomorphism and Rezk's on logarithmic cohomology
operations."
2013/03/18,,,,"Nitu Kitchloo","Johns Hopkins University",,"The Stable Symplectic category and the Grothendieck-Teichmuller group","The Stable Symplectic category can the thought of as a category of Symplectic Motives. The objects in this topological category are symplectic manifolds, and the space of morphisms is an infinite loop space obtained by stabilizing the space of immersed totally-real correspondences between the source and target. A variant of this category can be traced back almost 30 years to early work of A. Weinstein on geometric quantization. In my talk, I will motivate the definition of the Stable Symplectic category. This will lead us to the construction of a canonical fiber functor F, on this category with values in the monoidal category of modules over a commutative ring spectrum Omega. The main aim of my talk is to explore the Motivic Galois group Aut(F) (i.e. the group of monoidal automorphisms of F). This group will be shown to be the abelian quotient of the Grothendieck-Teichmuller group as described by Kontsevich. Extending this observation along the lines of homotopy theory, we will motivate the topological hochschild homology of Omega:THH(Omega), as an integral candidate for Aut(F). If time permits, I would like to formulate some natural geometric questions in symplectic topology in terms of THH(Omega) and the Waldhausen K-theory K(Omega). This is joint work in part with Jack Morava."
2013/04/01,,,,"Jack Ullman","MIT",,"The regular slice spectral sequence","The equivariant slice spectral sequence was introduced by Hill, Hopkins
and Ravenel in their solution of the Kervaire invariant problem, and is
rapidly becoming an important computational tool in equivariant stable
homotopy theory. In this talk, I will describe new results on a variant
called the regular slice spectral sequence (or RSSS). I will explain how
geometric fixed point and norm functors interact with the slice filtration,
giving a Leibniz formula for the latter. I will then use Brown-Comenetz
duality to relate the RSSS to the homotopy orbit and homotopy fixed point
spectral sequences. Next, I will use model theory to obtain Toda bracket
operations in the RSSS. Finally, I will use some of these tools to obtain a
formula for the slice tower of a cofree spectrum, prove real Bott
periodicity and prove a special case of the Atiyah-Segal completion
theorem."
2013/04/08,,,,"John Lind","Johns Hopkins University",,"Equivariantly Twisted Cohomology Theories","Twisted K-theory is a cohomology theory whose cocycles are like vector
bundles but with locally twisted transition functions.  If we instead
consider twisted vector bundles with a symmetry encoded by the action
of a compact Lie group, the resulting theory is equivariant twisted
K-theory.  This subject has garnered much attention for its
connections to conformal field theory and representations of loop
groups.  While twisted K-theory can be defined entirely in terms of
the geometry of vector bundles, there is a homotopy-theoretic
formulation using the language of parametrized spectra.  In fact, from
this point of view we can define twists of any multiplicative
generalized cohomology theory, not just K-theory.  The aim of this
talk is to explain how this works, and then to propose a definition of
equivariant twisted cohomology theories using a similar framework.
The main ingredient is a structured approach to multiplicative
homotopy theory that allows for the notion of a G-torsor where G is a
grouplike A_{\infty} space."
2013/04/22,,,,"Geoffroy Horel","MIT",,"Operads, Modules and higher Hochschild cohomology","In this talk I will describe a general theory of modules over an algebra over an operad. Specializing to the operad Ed of little d-dimensional disks, I will show that each d-1 manifold gives rise to a theory of modules. I will then describe a geometric construction of the homomorphisms objects in these categories of modules inspired by factorization homology (also called chiral homology). A particular case of this construction is higher Hochschild cohomology (i.e. Hochschild cohomology for Ed-algebras). This construction enlightens the relationship between Hocshchild cohomology and geometric objects like the cobordism category and the spaces of long knots."
2013/04/29,,,,"Luis Pereira","MIT",,"Goodwillie Calculus and Algebras over a Spectral Operad","The overall goal of this talk is to apply the theory of Goodwillie calculus to the
category $Alg_{\mathcal{O}}$ of algebras over a spectral operad.
Its first part will deal with generalizing many of the original results of Goodwillie so that
they apply to a larger class of model categories and hence be applicable to $Alg_{\mathcal{O}}$.
The second part will apply that generalized theory to the $Alg_{\mathcal{O}}$ categories. The
main results here are: an understanding of finitary homogeneous functors between such categories;
identifying the Taylor tower of the identity in those categories; showing that
finitary n-excisive functors can not distinguish between $Alg_{\mathcal{O}}$ and $Alg_{\mathcal{O_{\leq n}}}$, the category
of algebras over the truncated $O_{\leq n}$; and a weak form of the chain rule
between such algebra categories, analogous to the one studied by Arone and Ching in the case of Spaces and Spectra."
2013/04/30,,,,"Rune Haugseng","MIT",,"Weakly Enriched Higher Categories","Categories enriched in symmetric monoidal categories such as spectra turn
up in various places in algebraic topology. Unfortunately these can be
difficult to work with in a homotopically meaningful way, which suggests
that for many purposes it would be better to work with less rigid
structures, where composition is only associative up to coherent homotopy.
In this talk I will introduce a general theory of such weak or
homotopy-coherent enrichment, built using a non-symmetric variant of
Lurie's infinity-operads. I will then describe how the correct homotopy
theory of these enriched infinity-categories can be constructed as a
localization of a homotopy theory defined using infinity-operads; this is
joint work with David Gepner. In addition, I will discuss some comparison
results and, time permitting, mention analogues of natural transformations
and correspondences in this setting."
2013/05/13,,,,"Marco Varisco","SUNY",,"Algebraic K-Theory of Group Rings and Topological Cyclic Homology","The Farrell-Jones Conjecture predicts the structure of the algebraic K-theory K(ZG) of the integral group ring of an arbitrary discrete group G. It asserts that a so-called assembly map (whose target is the spectrum K(ZG) and whose source is the homotopy colimit of K(ZH) over all virtually cyclic subgroups H of G) is an equivalence.
I will describe joint work with Wolfgang Lück, Holger Reich, and John Rognes, in which we prove partial injectivity results about the rationalized assembly map under finiteness assumptions on the group G, generalizing a theorem of Bökstedt-Hsiang-Madsen. The main tool is the cyclotomic trace map from algebraic K-theory to topological cyclic homology."
